target,source,value
iPhone XR 64Go,Galaxy Note20,21
iPhone 8 64Go,Galaxy Note20,11
Galaxy S9,Galaxy Note20,303
Galaxy S9,Galaxy A42 5G,22
Galaxy S9,Galaxy Note 10 Lite,11
iPhone 7 32Go,Galaxy Note20,48
iPhone 7 32Go,Galaxy A42 5G,12
iPhone 7 32Go,Galaxy A80,12
Galaxy S8,Galaxy Note20,298
Galaxy S8,Galaxy Note 10 Lite,57
Galaxy S8,Galaxy A42 5G,43
iPhone X 64Go,Galaxy Note20,41
iPhone 8 Plus 64Go,Galaxy Note20,116
Galaxy S9+,Galaxy Note20,846
Galaxy S9+,Galaxy Note 10 Lite,26
iPhone 11 64Go,Galaxy Note20,86
iPhone 6s 32Go,Galaxy Note20,3
